"2022-11-30 04:11:22am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '25' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15"
"2022-11-30 04:11:24am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '26' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xl-mustard-vnky8c75-26 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25"
"2022-11-30 04:11:26am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '27' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xxl-mustard-vnky8c75-27 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xl-mustard-vnky8c75-26"
"2022-11-30 04:11:29am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '26' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xl-mustard-vnky8c75-26 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xxl-mustard-vnky8c75-27"
"2022-11-30 04:11:32am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '25' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xl-mustard-vnky8c75-26"
"2022-11-30 04:11:36am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25"
"2022-11-30 04:11:46am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25"
"2022-11-30 04:11:49am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '25' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25 "," R: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21"
"2022-11-30 04:11:51am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '26' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xl-mustard-vnky8c75-26 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25"
"2022-11-30 04:11:53am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '27' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xxl-mustard-vnky8c75-27 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xl-mustard-vnky8c75-26"
"2022-11-30 04:11:55am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xxl-mustard-vnky8c75-27"
