"2022-08-03 00:26:22am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('HALF SLEEVE', '1', '2022-08-02 20:56:22') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:26:33am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('LONG SLEEVE', '1', '2022-08-02 20:56:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:26:41am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('POLO COLLAR', '1', '2022-08-02 20:56:41') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:26:49am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('V-NECK', '1', '2022-08-02 20:56:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:26:58am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('WIDE NECK', '1', '2022-08-02 20:56:58') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:27:09am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('YOKE NECK', '1', '2022-08-02 20:57:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:27:19am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('DOUCHE BAG NECK', '1', '2022-08-02 20:57:19') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:27:26am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('HENLEY COLLAR', '1', '2022-08-02 20:57:26') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:27:34am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('BASEBALL', '1', '2022-08-02 20:57:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:27:41am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('RAGLAN SLEEVE', '1', '2022-08-02 20:57:41') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:27:49am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('TURTLE NECK', '1', '2022-08-02 20:57:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:27:58am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('RINGER', '1', '2022-08-02 20:57:58') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:28:06am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('CAP SLEEVE', '1', '2022-08-02 20:58:06') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:30:08am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('CHEST/SHOULDER FIT', '1', '2022-08-02 21:00:08') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:30:18am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('NECK FIT', '1', '2022-08-02 21:00:18') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:30:28am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('SLEEVE FIT', '1', '2022-08-02 21:00:28') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:30:36am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('WAIST FIT', '1', '2022-08-02 21:00:36') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:31:35am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('SLIM FIT.', '1', '2022-08-02 21:01:35') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:31:45am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('REGULAR FIT.', '1', '2022-08-02 21:01:45') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:31:58am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('SKINNY FIT', '1', '2022-08-02 21:01:58') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:35:39am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('24 INCH', '1', '2022-08-02 21:05:39') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:35:51am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('26 INCH', '1', '2022-08-02 21:05:51') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:35:58am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('28 INCH', '1', '2022-08-02 21:05:58') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:36:07am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('30 INCH', '1', '2022-08-02 21:06:07') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:36:16am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('40 INCH', '1', '2022-08-02 21:06:15') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:36:22am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('42 INCH', '1', '2022-08-02 21:06:22') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:36:29am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('44 INCH', '1', '2022-08-02 21:06:29') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:36:36am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('46 INCH', '1', '2022-08-02 21:06:36') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:39:57am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('2 GB', '1', '2022-08-02 21:09:57') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:40:07am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('4 GB', '1', '2022-08-02 21:10:07') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:40:14am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('8 GB', '1', '2022-08-02 21:10:14') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:40:21am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('16 GB', '1', '2022-08-02 21:10:21') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:40:30am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('32 GB', '1', '2022-08-02 21:10:30') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:40:43am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('216 GB', '1', '2022-08-02 21:10:43') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-08-03 00:40:50am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('512 GB', '1', '2022-08-02 21:10:50') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
