"2022-08-24 00:29:09am "," update "," UPDATE category SET `hierarchy` = '1,10' WHERE 1=1  and category_id = '10' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:29:09am "," update "," UPDATE category SET `child_category` = '9,10' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:29:35am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Tablets', 'tablets', '1', '', 'Tablets', '', '1', '2022-08-24 00:29:35') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:29:35am "," update "," UPDATE category SET `hierarchy` = '1,11' WHERE 1=1  and category_id = '11' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:29:35am "," update "," UPDATE category SET `child_category` = '9,10,11' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:30:06am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Smartwatches & Bands', 'smartwatches-&-bands', '1', '', 'Smartwatches & Bands', '', '1', '2022-08-24 00:30:06') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:30:06am "," update "," UPDATE category SET `hierarchy` = '1,12' WHERE 1=1  and category_id = '12' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:30:06am "," update "," UPDATE category SET `child_category` = '9,10,11,12' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:30:32am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Powerbanks', 'powerbanks', '1', '', 'Powerbanks', '', '1', '2022-08-24 00:30:32') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:30:32am "," update "," UPDATE category SET `hierarchy` = '1,13' WHERE 1=1  and category_id = '13' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:30:32am "," update "," UPDATE category SET `child_category` = '9,10,11,12,13' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
