"2022-08-24 01:52:31am "," update "," UPDATE category SET `hierarchy` = '7,48' WHERE 1=1  and category_id = '48' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:52:31am "," update "," UPDATE category SET `child_category` = '48' WHERE 1=1  and category_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:53:55am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Sportswear', 'sportswear', '7', '', 'Sportswear', '', '1', '2022-08-24 01:53:55') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:53:55am "," update "," UPDATE category SET `hierarchy` = '7,49' WHERE 1=1  and category_id = '49' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:53:55am "," update "," UPDATE category SET `child_category` = '48,49' WHERE 1=1  and category_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:54:14am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Sports Gear', 'sports-gear', '7', '', 'Sports Gear', '', '1', '2022-08-24 01:54:14') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:54:14am "," update "," UPDATE category SET `hierarchy` = '7,50' WHERE 1=1  and category_id = '50' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:54:14am "," update "," UPDATE category SET `child_category` = '48,49,50' WHERE 1=1  and category_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:55:35am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Others', 'others', '', '1,2,3,4,5,6,7,8,9', 'Others', '', '1', '2022-08-24 01:55:35') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:55:35am "," update "," UPDATE category SET `hierarchy` = '51' WHERE 1=1  and category_id = '51' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:55:35am "," update "," UPDATE category SET `child_category` = '51' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:55:51am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Other', 'other', '1', '', 'Other', '', '1', '2022-08-24 01:55:51') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:55:51am "," update "," UPDATE category SET `hierarchy` = '1,52' WHERE 1=1  and category_id = '52' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:55:51am "," update "," UPDATE category SET `child_category` = '9,10,11,12,13,14,16,17,52' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:56:02am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Other', 'other', '2', '', 'Other', '', '1', '2022-08-24 01:56:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:56:02am "," update "," UPDATE category SET `hierarchy` = '2,53' WHERE 1=1  and category_id = '53' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:56:02am "," update "," UPDATE category SET `child_category` = '18,19,20,21,22,23,24,25,53' WHERE 1=1  and category_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:56:11am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Other', 'other', '3', '', 'Other', '', '1', '2022-08-24 01:56:11') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:56:11am "," update "," UPDATE category SET `hierarchy` = '3,54' WHERE 1=1  and category_id = '54' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:56:11am "," update "," UPDATE category SET `child_category` = '54' WHERE 1=1  and category_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
