"2022-09-28 03:41:23am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=4"
"2022-09-28 03:41:42am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '7', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-28 03:41:52am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '2', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:41:59am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '2' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:42:01am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:43:41am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '3', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/greciilooks-womens-casual-digital-printed-shirt-ruffle-sleeve-tops?pid=3"
"2022-09-28 03:43:49am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '5', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=5"
"2022-09-28 03:43:57am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '5' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=5"
"2022-09-28 03:44:01am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '3' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=5"
"2022-09-28 03:44:06am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '6' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=5"
