"2023-01-24 03:04:13am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('137', 2, '108', 'fwzkGl', '25', '2023-01-24 03:04:13') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/137"
"2023-01-24 03:04:13am "," update "," UPDATE product_details SET `image` = '1.webp|2.jpg|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '137' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/137"
"2023-01-24 03:04:29am "," update "," UPDATE product_details SET `product_name` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta', `product_code` = 'Kurta', `short_code` = 'women-green-mustard-ethnic-motifs-printed-a-line-kurta-xl-mustard-vnky8c75-138', `short_description` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta', `description` = '<h6>Design Details</h6><p>Colour: green and mustard</p><p>Width: 1.06 metres</p><p>Ethnic motifs printed A-Line panelled Kurta</p><p>round neck</p><p>regular sleeves</p><p>Knee length with flared hem</p><p>tie-up at the back</p>', `brand_id` = '77', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '1500', `mrp_price` = 1680, `discount` = '30', `net_price` = 1176, `tax` = '12', `qty` = '', `gst_amt` = 180, `discount_amt` = '30'_amt, `cover_img` = 'cover_image.webp', `tag` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta,Women Printed A-Line Kurta,Women Printed Kurta', `gst_type` = 'exclusive', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-24 03:04:29', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '138' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/138"
"2023-01-24 03:04:29am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('138', 1, '4', 'fwzkGl', '25', '2023-01-24 03:04:29') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/138"
"2023-01-24 03:04:29am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('138', 2, '108', 'fwzkGl', '25', '2023-01-24 03:04:29') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/138"
"2023-01-24 03:04:29am "," update "," UPDATE product_details SET `image` = '1.webp|2.jpg|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '138' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/138"
"2023-01-24 03:05:35am "," update "," UPDATE product_details SET `product_name` = 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', `product_code` = 'Kurta', `short_code` = 'women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139', `short_description` = 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', `description` = '<p>Colour: magenta and golden Ethnic motifs printed Round neck Three-quarter,regular sleeves Straight shape with regular style Calf length with straight hem Machine weave regular cotton</p><h6>Size &amp; Fit</h6><p>The model (height 5'8) is wearing a size S</p><h6>Material &amp; Care</h6><p>Pure Cotton</p><p>Hand wash</p>', `brand_id` = '76', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '500', `mrp_price` = 560, `discount` = '', `net_price` = 560, `tax` = '12', `qty` = '', `gst_amt` = 60, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `tag` = 'women Printed Pure Cotton Kurta,Women Magenta & Golden Cotton kurta, Printed Pure Cotton Kurta', `gst_type` = 'exclusive', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-24 03:05:35', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/139"
"2023-01-24 03:05:35am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('139', 1, '2', 'APYDrg', '26', '2023-01-24 03:05:35') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/139"
"2023-01-24 03:05:35am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('139', 2, '85', 'APYDrg', '26', '2023-01-24 03:05:35') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/139"
"2023-01-24 03:05:35am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp' WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/139"
"2023-01-24 03:06:00am "," update "," UPDATE product_details SET `product_name` = 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', `product_code` = 'Kurta', `short_code` = 'women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-l-blush-red-vnky8c75-140', `short_description` = 'Women Magenta & Golden Ethnic Motifs Printed Pure Cotton Kurta', `description` = '<p>Colour: magenta and golden Ethnic motifs printed Round neck Three-quarter,regular sleeves Straight shape with regular style Calf length with straight hem Machine weave regular cotton</p><h6>Size &amp; Fit</h6><p>The model (height 5'8) is wearing a size S</p><h6>Material &amp; Care</h6><p>Pure Cotton</p><p>Hand wash</p>', `brand_id` = '76', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '500', `mrp_price` = 560, `discount` = '', `net_price` = 560, `tax` = '12', `qty` = '', `gst_amt` = 60, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `tag` = 'women Printed Pure Cotton Kurta,Women Magenta & Golden Cotton kurta, Printed Pure Cotton Kurta', `gst_type` = 'exclusive', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-24 03:06:00', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '140' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/140"
"2023-01-24 03:06:00am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('140', 1, '3', 'APYDrg', '26', '2023-01-24 03:06:00') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/140"
"2023-01-24 03:06:00am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('140', 2, '85', 'APYDrg', '26', '2023-01-24 03:06:00') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/140"
