"2022-12-30 02:17:15am "," update "," UPDATE product_details SET `view_count` = 42 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:17:15am "," update "," UPDATE product_details SET `view_count` = 43 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:17:16am "," update "," UPDATE product_details SET `view_count` = 44 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:17:33am "," update "," UPDATE product_details SET `view_count` = 23 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:22:38am "," update "," UPDATE product_details SET `view_count` = 24 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:22:39am "," update "," UPDATE product_details SET `view_count` = 25 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:22:39am "," update "," UPDATE product_details SET `view_count` = 26 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:22:40am "," update "," UPDATE product_details SET `view_count` = 27 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:22:40am "," update "," UPDATE product_details SET `view_count` = 28 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:22:41am "," update "," UPDATE product_details SET `view_count` = 29 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:22:41am "," update "," UPDATE product_details SET `view_count` = 30 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:22:41am "," update "," UPDATE product_details SET `view_count` = 31 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:23:51am "," update "," UPDATE product_details SET `view_count` = 32 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:25:13am "," update "," UPDATE product_details SET `view_count` = 33 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:25:53am "," update "," UPDATE product_details SET `view_count` = 34 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:26:20am "," update "," UPDATE product_details SET `view_count` = 35 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:26:30am "," update "," UPDATE product_details SET `view_count` = 36 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:27:28am "," update "," UPDATE product_details SET `view_count` = 37 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:27:29am "," update "," UPDATE product_details SET `view_count` = 38 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
