"2023-01-23 23:12:55pm "," update "," UPDATE product_details SET `view_count` = 53 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:12:56pm "," update "," UPDATE product_details SET `view_count` = 54 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:12:56pm "," update "," UPDATE product_details SET `view_count` = 55 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:13:03pm "," update "," UPDATE product_details SET `view_count` = 56 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:13:45pm "," update "," UPDATE product_details SET `view_count` = 57 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:13:46pm "," update "," UPDATE product_details SET `view_count` = 58 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:13:46pm "," update "," UPDATE product_details SET `view_count` = 59 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:13:47pm "," update "," UPDATE product_details SET `view_count` = 60 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:13:47pm "," update "," UPDATE product_details SET `view_count` = 61 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:14:06pm "," update "," UPDATE product_details SET `view_count` = 62 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:14:06pm "," update "," UPDATE product_details SET `view_count` = 63 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
