"2022-12-10 03:07:04am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117"
"2022-12-10 03:07:55am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117"
"2022-12-10 03:14:57am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117"
"2022-12-10 03:16:32am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117"
"2022-12-10 03:20:01am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117"
"2022-12-10 03:21:04am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117"
"2022-12-10 03:21:10am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '116', '1', '{""undefined"":""10""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
"2022-12-10 03:21:11am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
"2022-12-10 03:21:29am "," update "," UPDATE customer_cart SET `quantity` = 2, `elements_attributes` = '{""undefined"":""10""}' WHERE 1=1  and cart_id = '2' "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
"2022-12-10 03:21:29am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
"2022-12-10 03:22:07am "," update "," UPDATE customer_cart SET `quantity` = 3, `elements_attributes` = '{""undefined"":""10""}' WHERE 1=1  and cart_id = '2' "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
"2022-12-10 03:22:07am "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
"2022-12-10 03:23:00am "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
