"2022-12-10 21:47:25pm "," update "," UPDATE product_details SET `view_count` = 40 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:25pm "," update "," UPDATE product_details SET `view_count` = 41 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:26pm "," update "," UPDATE product_details SET `view_count` = 42 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:26pm "," update "," UPDATE product_details SET `view_count` = 43 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:27pm "," update "," UPDATE product_details SET `view_count` = 44 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:27pm "," update "," UPDATE product_details SET `view_count` = 45 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:27pm "," update "," UPDATE product_details SET `view_count` = 46 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:27pm "," update "," UPDATE product_details SET `view_count` = 47 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:27pm "," update "," UPDATE product_details SET `view_count` = 48 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:27pm "," update "," UPDATE product_details SET `view_count` = 49 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:28pm "," update "," UPDATE product_details SET `view_count` = 50 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:28pm "," update "," UPDATE product_details SET `view_count` = 51 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:47:28pm "," update "," UPDATE product_details SET `view_count` = 52 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:48:39pm "," update "," UPDATE product_details SET `view_count` = 53 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-10 21:48:40pm "," update "," UPDATE product_details SET `view_count` = 54 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
