"2023-01-03 00:44:08am "," update "," UPDATE product_details SET `product_name` = 'Women Maroon Solid Straight Kurta', `product_code` = 'T-SHIRT', `short_code` = 'women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118', `short_description` = 'Maroon solid Straight kurta, has a tie-up neck, three-quarter sleeves, straight hem, side slits', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Kurta design:</strong></h5><ul><li>Floral yoke design</li><li>Straight shapeRegular style</li><li>Round neck, three-quarter regular sleeves</li><li>Calf length with straight hem</li><li>Cotton blend machine weave fabric</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Trousers design:</strong></h5><ul><li>Solid Trousers</li><li>Elasticated waistband</li><li>Slip-on closure</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li>The model (height 5'8) is wearing a size S</li><li>DimensionDupatta: Length : 2.25 M, Width : 0.95 M</li></ul></div></div><div class=""row""><div class=""col-12 col-md-3""><h5><strong>Sleeve Length</strong></h5><ul><li style=""list-style-type: circle;"">Three-Quarter Sleeves</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Top Shape</strong></h5><ul><li style=""list-style-type: circle;"">Straight</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Print or Pattern Type</strong></h5><ul><li style=""list-style-type: circle;"">Floral</li></ul></div></div>', `brand_id` = '78', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '250', `mrp_price` = '250', `discount` = '', `net_price` = '250', `tax` = '0', `qty` = '', `gst_amt` = 0, `discount_amt` = ''_amt, `cover_img` = 'cover_image.jpg', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-03 00:44:08', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-03 00:44:08am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('118', 1, '2', 'w8J7XE', '23', '2023-01-03 00:44:08') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-03 00:44:08am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('118', 2, '86', 'w8J7XE', '23', '2023-01-03 00:44:08') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-03 00:44:08am "," update "," UPDATE product_details SET `image` = '' WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-03 00:46:53am "," update "," UPDATE product_details SET `product_name` = 'Women Maroon Solid Straight Kurta', `product_code` = 'T-SHIRT', `short_code` = 'women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118', `short_description` = 'Maroon solid Straight kurta, has a tie-up neck, three-quarter sleeves, straight hem, side slits', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Kurta design:</strong></h5><ul><li>Floral yoke design</li><li>Straight shapeRegular style</li><li>Round neck, three-quarter regular sleeves</li><li>Calf length with straight hem</li><li>Cotton blend machine weave fabric</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Trousers design:</strong></h5><ul><li>Solid Trousers</li><li>Elasticated waistband</li><li>Slip-on closure</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li>The model (height 5'8) is wearing a size S</li><li>DimensionDupatta: Length : 2.25 M, Width : 0.95 M</li></ul></div></div><div class=""row""><div class=""col-12 col-md-3""><h5><strong>Sleeve Length</strong></h5><ul><li style=""list-style-type: circle;"">Three-Quarter Sleeves</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Top Shape</strong></h5><ul><li style=""list-style-type: circle;"">Straight</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Print or Pattern Type</strong></h5><ul><li style=""list-style-type: circle;"">Floral</li></ul></div></div>', `brand_id` = '78', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '250', `mrp_price` = '250', `discount` = '', `net_price` = '250', `tax` = '0', `qty` = '', `gst_amt` = 0, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-03 00:46:53', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-03 00:46:53am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('118', 1, '2', 'w8J7XE', '23', '2023-01-03 00:46:53') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-03 00:46:53am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('118', 2, '86', 'w8J7XE', '23', '2023-01-03 00:46:53') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-03 00:46:53am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.jpg|5.webp' WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-03 00:47:59am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:47:59', `is_active` = '2' WHERE 1=1  and product_id = '117' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
"2023-01-03 00:48:03am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:48:03', `is_active` = '2' WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
