"2022-11-29 23:28:39pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('56', 2, '100', 'vXIQtx', '11', '2022-11-29 23:28:39') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/56"
"2022-11-29 23:28:39pm "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('56', 6, '152', 'vXIQtx', '11', '2022-11-29 23:28:39') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/56"
"2022-11-29 23:28:39pm "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.jpg' WHERE 1=1  and product_id = '56' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/56"
"2022-11-29 23:28:52pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '58' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-off-white-slim-fit-trousers-cream-30-vne98q7y-58 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:28:52pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '58') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-off-white-slim-fit-trousers-cream-30-vne98q7y-58 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:29:10pm "," insert "," INSERT INTO parent_product_listing(`vendor_id`, `parent_name`, `variant_code`, `is_active`) VALUES('2', 'Men Off White Slim Fit Trousers-Nautica', '310lRF', 1) "," ::1 "," URL: http://localhost/MultiVendor/submit-parent-product "," R: http://localhost/MultiVendor/add-parent-product"
"2022-11-29 23:29:14pm "," update "," UPDATE product_details SET `variant_code` = '310lRF', `parent_product_id` = '12' WHERE 1=1  and product_id = '58' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/12"
"2022-11-29 23:29:14pm "," update "," UPDATE product_elements_attributes SET `variant_code` = '310lRF', `parent_product_id` = '12' WHERE 1=1  and product_id = '58' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/12"
"2022-11-29 23:29:16pm "," update "," UPDATE product_details SET `variant_code` = '310lRF', `parent_product_id` = '12' WHERE 1=1  and product_id = '59' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/12"
"2022-11-29 23:29:16pm "," update "," UPDATE product_elements_attributes SET `variant_code` = '310lRF', `parent_product_id` = '12' WHERE 1=1  and product_id = '59' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/12"
"2022-11-29 23:29:17pm "," update "," UPDATE product_details SET `variant_code` = '310lRF', `parent_product_id` = '12' WHERE 1=1  and product_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/12"
"2022-11-29 23:29:17pm "," update "," UPDATE product_elements_attributes SET `variant_code` = '310lRF', `parent_product_id` = '12' WHERE 1=1  and product_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/12"
